City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Zachary,1,US,1562307279,88,30.65,-91.16,28,1.5
Labuhan,1,ID,1562307281,45,-2.54,115.51,34.04,0.97
Georgetown,20,GY,1562307282,100,6.8,-58.16,24,1
Brae,75,GB,1562307283,87,60.4,-1.35,10,3.6
Salalah,75,OM,1562307285,89,17.01,54.1,29,1.5
Hambantota,100,LK,1562307148,81,6.12,81.12,28.14,8.14
Piacabucu,2,BR,1562307287,91,-10.41,-36.43,23.14,1.79
Galveston,1,US,1562307288,94,40.58,-86.19,25.56,2.23
Fort Wellington,82,GY,1562307290,97,6.4,-57.6,23.44,1.15
Norman Wells,75,CA,1562307291,100,65.28,-126.83,16,3.1
San Felipe,0,CL,1562307292,99,-32.75,-70.73,6.67,2.35
Whyalla,10,AU,1562307293,38,-33.04,137.58,23,5.7
Sokode,100,TG,1562307295,96,8.98,1.13,21.64,0.73
Palaiokhorion,0,GR,1562307296,83,40.95,24.18,26.67,1.12
Tuatapere,100,NZ,1562307155,92,-46.13,167.69,8.33,3.13
Gat,20,SN,1562307299,78,14.69,-16.54,24,5.7
Barrow,41,AR,1562307300,87,-38.31,-60.23,2.64,5.5
Busselton,57,AU,1562307301,42,-33.64,115.35,13.33,7.92
Prince Rupert,20,CA,1562307302,93,54.32,-130.32,14,1.5
La Rioja,0,AR,1562307304,87,-29.41,-66.86,2.24,1.08
Mantua,5,IT,1562307305,78,45.16,10.79,26.67,1
Dikson,15,RU,1562307189,80,73.51,80.55,3.34,7.39
Hirara,75,JP,1562307308,84,24.8,125.28,31,9.3
Padang,0,ID,1562307173,73,-0.92,100.36,28.94,4.21
Beyneu,0,KZ,1562307310,20,45.32,55.19,33.44,0.76
Mar Del Plata,96,AR,1562307311,76,-46.43,-67.52,0.34,4.51
Tamandare,34,BR,1562306910,87,-8.28,-70.75,22.24,1.19
Pirgos,0,GR,1562307314,54,35.12,25.72,31.67,3.1
Souillac,0,FR,1562307315,60,45.6,-0.6,23.89,2.1
Honiara,20,SB,1562307317,66,-9.43,159.96,31,7.2
Yellowknife,40,CA,1562307152,55,62.45,-114.38,18,2.1
East London,20,ZA,1562307319,72,-33.02,27.91,15,8.2
Port Lincoln,60,AU,1562307320,68,-34.72,135.86,16.84,5.74
Baixa Grande,18,BR,1562307322,93,-11.96,-40.17,19.64,0.29
Atuona,27,PF,1562307169,78,-9.8,-139.03,27.24,6.6
Xai-Xai,0,MZ,1562307324,73,-25.04,33.64,16.84,4.88
Petropavlovsk-Kamchatskiy,20,RU,1562307037,82,53.05,158.65,14,7
Nea Alikarnassos,0,GR,1562307326,54,35.33,25.17,31.67,3.1
Sale,0,AU,1562307328,83,-38.11,147.06,13.89,1.68
Panama City,1,US,1562307329,78,30.16,-85.65,28.33,2.1
Lawrenceburg,20,US,1562307330,100,35.24,-87.33,25,0.97
Shingu,75,JP,1562307059,88,33.72,135.99,24,1
Klaksvik,52,FO,1562307158,93,62.23,-6.59,9,2.6
Aksarka,25,RU,1562307083,52,66.56,67.8,25.74,5.7
Chuy,10,UY,1562307336,70,-33.69,-53.46,6.44,8.6
Sao Filipe,15,CV,1562307151,87,14.9,-24.5,22.54,6.4
Sao Joao Da Barra,74,BR,1562307191,97,-21.64,-41.05,20.34,1.29
Maumere,0,ID,1562307095,59,-8.63,122.22,25.94,3.12
Ouargaye,100,BF,1562307341,83,11.5,0.06,24.34,5.16
Mumford,100,GH,1562307342,95,5.26,-0.76,23.04,1.47
Poum,0,MK,1562307344,68,41.28,20.71,21,0.2
Jiuquan,0,CN,1562307345,14,39.73,98.49,29.34,9.52
Auki,100,NG,1562307346,87,12.18,6.51,23.54,2.48
Vaini,75,IN,1562307139,83,15.34,74.49,25,7.7
Esperance,90,AU,1562307349,87,-33.86,121.89,12,10.8
Port Elizabeth,40,US,1562307350,100,39.31,-74.98,25,2.1
Pitimbu,75,BR,1562307351,95,-7.47,-34.81,23,1
Hofn,83,IS,1562307353,95,64.25,-15.21,3.14,8.46
Bud,75,NO,1562307354,76,62.91,6.91,10,1.5
Maunabo,75,US,1562307355,78,18.01,-65.9,28,6.2
Faya,0,SA,1562307357,41,18.39,42.45,25,2.6
Mount Isa,3,AU,1562307358,31,-20.73,139.49,26,5.7
Baykit,39,RU,1562307359,27,61.68,96.39,30.54,2.29
Nchelenge,5,ZM,1562307360,63,-9.35,28.74,17.24,3.55
Praia Da Vitoria,75,PT,1562307362,82,38.73,-27.07,19,5.49
Claremore,1,US,1562307363,88,36.31,-95.62,28,1.5
Geraldton,75,CA,1562307364,93,49.72,-86.95,19,1.4
Clyde River,90,CA,1562307366,91,70.47,-68.59,1,3.6
Ust-Tsilma,85,RU,1562307367,85,65.44,52.15,17.54,2.98
Hamilton,75,CA,1562306985,100,43.26,-79.87,24,0.95
Olkhovatka,7,RU,1562307369,59,50.28,39.3,17.64,3.19
Dezhou,52,CN,1562307370,14,37.45,116.31,41.64,8.77
Narsaq,27,GL,1562307372,75,60.91,-46.05,7,1.5
Sitka,36,US,1562307373,81,37.17,-99.65,22.78,3.98
Katherine,28,AU,1562307374,15,-14.47,132.26,30,3.1
Port Blair,100,IN,1562307376,81,11.67,92.75,28.84,10.59
Acapulco,20,MX,1562307300,83,16.86,-99.88,28,1.5
Gornopravdinsk,0,RU,1562307378,55,60.06,69.92,23.34,3.05
Chute-Aux-Outardes,1,CA,1562307379,100,49.12,-68.38,23,1.5
Sindor,73,RU,1562307381,61,62.87,51.9,17.84,3.2
Port Macquarie,75,AU,1562307382,63,-31.43,152.91,18.89,4.1
Udachnyy,90,RU,1562307383,71,66.42,112.4,13,5
Nelidovo,83,RU,1562307384,71,56.22,32.78,12.44,5.02
Komsomolskiy,68,RU,1562307386,53,67.55,63.78,25.34,4.51
Kamaishi,75,JP,1562307387,78,39.28,141.86,22,4.1
Utena,100,LT,1562307389,94,55.5,25.6,12.14,8.95
Kaitangata,100,NZ,1562307390,81,-46.28,169.85,7.22,1.34
Ulaanbaatar,75,MN,1562307198,30,47.92,106.92,22,4
Mehran,0,IR,1562307392,15,33.12,46.17,30,2.1
Severo-Kurilsk,99,RU,1562307393,96,50.68,156.12,6.04,7.6
Loralai,0,PK,1562307395,15,30.37,68.6,33.34,1.23
Gushikawa,75,JP,1562307396,88,26.35,127.87,29,7.2
Ukiah,0,US,1562307397,84,39.15,-123.21,17.78,1.28
Singapore,75,SG,1562306860,59,1.29,103.85,33.33,6.7
Wakkanai,75,JP,1562307400,77,45.41,141.67,16,7.2
Ketchikan,75,US,1562307401,82,55.34,-131.65,19,4.1
Lensk,67,RU,1562307402,28,60.71,114.91,27.44,6.08
Antofagasta,90,CL,1562307327,67,-23.65,-70.4,14,1
Namibe,0,AO,1562307405,59,-15.19,12.15,22.34,4.28
Oranjestad,40,AW,1562307292,88,12.52,-70.03,27,10.3
Bonavista,100,CA,1562307154,80,48.65,-53.11,9.44,1.79
Sokoni,0,ZM,1562307409,68,-12.89,28.78,15.04,2.72
Ust-Maya,36,RU,1562307410,40,60.42,134.54,18.64,2.4
Rock Sound,0,BS,1562307411,78,24.9,-76.2,28.74,7.67
Polson,90,US,1562307413,93,47.69,-114.16,14.44,0.89
Tuktoyaktuk,20,CA,1562307414,77,69.44,-133.03,15,5.1
Nanortalik,19,GL,1562307415,80,60.14,-45.24,4.34,0.51
Port Alfred,83,ZA,1562307416,92,-33.59,26.89,12.78,2.68
Laguna,40,BZ,1562307181,94,16.17,-88.94,25,0.51
Union,90,US,1562307419,94,34.72,-81.62,23,1.5
Nome,1,US,1562307420,100,30.04,-94.42,28.33,2.34
Cayenne,75,GF,1562307421,100,4.94,-52.33,24,1
Coquimbo,0,CL,1562307423,93,-29.95,-71.34,11.11,1
Fairlie,1,US,1562307424,78,33.31,-95.96,27.78,3.1
Kenai,1,US,1562307426,67,60.55,-151.26,24.44,5.7
Amarante Do Maranhao,40,BR,1562307427,95,-5.57,-46.74,20.64,0.53
Yinchuan,0,CN,1562307428,22,38.48,106.21,30.56,1.79
Fairbanks,90,US,1562307429,60,64.84,-147.72,20,1.5
Kodiak,1,US,1562307431,88,39.95,-94.76,23.33,2.1
Williamsburg,1,US,1562306894,100,37.27,-76.71,24.44,1.58
Mokhotlong,0,LS,1562307433,40,-29.29,29.06,0.54,1.06
Kodinsk,16,RU,1562307434,20,58.6,99.18,30.84,2.48
San Juan,67,AR,1562307436,84,-31.54,-68.53,-1.06,1.53
Kakonko,52,TZ,1562307437,52,-3.28,30.97,20.14,1.64
Vao,100,EE,1562307438,92,59.1,26.19,11.44,3.75
Morant Bay,20,JM,1562307440,54,17.88,-76.41,29,9.8
Khatanga,91,RU,1562307441,55,71.98,102.47,11.54,5.43
Peace River,90,CA,1562307442,67,56.23,-117.29,14,3.1
Warragul,2,AU,1562307443,64,-38.16,145.93,17.78,0.45
Bandarbeyla,80,SO,1562307445,41,9.49,50.81,30.94,14.07
Aras,0,ES,1562307446,53,42.56,-2.36,23,3.1
Newport,1,US,1562307351,100,41.49,-71.31,21.67,1.18
Tasiilaq,0,GL,1562306947,86,65.61,-37.64,5,0.44
Kamenka,23,MD,1562307178,54,48.03,28.7,20.56,0.89
Adrar,34,DZ,1562307451,15,27.87,-0.29,33.44,4.81
Vila Franca Do Campo,75,PT,1562307452,77,37.72,-25.43,18,4.1
Sinnamary,79,GF,1562307453,82,5.38,-52.96,26.64,6.68
Nago,5,IT,1562307455,78,45.88,10.89,26.67,1
Touros,2,BR,1562307162,81,-5.2,-35.46,26.34,7.11
Erenhot,100,CN,1562307457,32,43.65,111.97,20.64,11.57
Fandriana,56,MG,1562307458,79,-20.24,47.38,14.84,2.07
Cidreira,27,BR,1562306910,71,-30.17,-50.22,7.24,5.73
Verkhnyaya Inta,44,RU,1562307461,42,65.99,60.32,25.14,5.32
Murray Bridge,0,AU,1562307462,68,-35.12,139.28,20,1.34
Balabac,100,PH,1562307463,69,7.99,117.06,28.54,2.36
Brownsville,75,US,1562307322,88,25.91,-97.49,28.33,4.1
Road Town,1,VG,1562307466,74,18.42,-64.62,28,5.7
Husavik,57,CA,1562307467,57,50.56,-96.99,17.78,3.5
Majene,0,ID,1562307469,71,-3.54,118.97,28.04,7
Palmer,0,AU,1562307470,62,-34.85,139.16,20,5.3
Xining,45,CN,1562307471,38,36.62,101.77,20.44,3.2
Constitucion,7,MX,1562307472,80,23.99,-104.67,12.94,3.17
Avarua,4,CK,1562307289,60,-21.21,-159.78,22,5.7
Guerrero Negro,0,MX,1562307475,85,27.97,-114.04,18.24,6.75
Comodoro Rivadavia,0,AR,1562307476,74,-45.87,-67.48,2,3.1
Saint-Leu,75,RE,1562307477,73,-21.15,55.28,25,4.6
Kalmunai,8,LK,1562307479,32,7.42,81.82,37.64,1.6
Dombas,31,NO,1562307480,62,62.07,9.12,3.84,4.76
Lorengau,65,PG,1562307481,74,-2.02,147.27,27.94,2.52
Ostrovnoy,100,RU,1562307483,94,68.05,39.51,8.34,5.08
Airai,0,ID,1562307484,51,-8.93,125.41,26.14,2.41
Bell Ville,14,AR,1562307486,76,-32.63,-62.69,2.74,1.96
Tazmalt,67,DZ,1562307487,40,36.39,4.4,25.94,1.05
Qaqortoq,27,GL,1562307488,75,60.72,-46.03,7,1.5
Vinderup,30,DK,1562307490,81,56.48,8.79,13.89,4.6
Bayburt,43,TR,1562307491,64,40.26,40.22,14.04,3.25
Noyabrsk,76,RU,1562307418,55,63.2,75.45,25.74,4.48
Uvinza,1,TZ,1562307493,42,-5.1,30.39,21.14,5.5
Hervey Bay,100,AU,1562307495,68,-25.3,152.85,20.56,9.3
Sillamae,100,EE,1562307496,91,59.4,27.75,11.84,9.05
Tiksi,97,RU,1562307156,81,71.64,128.87,3.64,3.37
Carnarvon,0,ZA,1562307498,63,-30.97,22.13,5.54,4.61
Hay River,20,CA,1562307500,93,60.82,-115.79,9,2.16
Ponta Delgada,75,PT,1562307501,77,37.73,-25.67,18,4.1
Diamantina,21,BR,1562307502,56,-18.24,-43.6,16.74,0.96
Baiyin,20,CN,1562307504,43,36.55,104.13,23,2
Fallon,1,US,1562307505,82,46.84,-105.12,16,2.1
Kruisfontein,61,ZA,1562307506,83,-34,24.73,11.04,5.63
Qaanaaq,100,GL,1562307142,74,77.48,-69.36,3.54,0.74
Mount Gambier,0,AU,1562307232,59,-37.83,140.78,17,5.7
Beringovskiy,100,RU,1562307510,57,63.05,179.32,15.34,3.08
Naifaru,3,MV,1562307511,74,5.44,73.37,28.84,4.54
Cabangahan,75,PH,1562307512,62,10.4,123.92,31,3.1
Uige,33,AO,1562307514,56,-7.61,15.06,18.24,1.4
Targoviste,0,RO,1562307515,88,44.92,25.46,23.89,4.1
Nizhniy Odes,77,RU,1562307516,69,63.64,54.86,18.24,2.81
Arawa,10,ID,1562307517,65,-3.93,119.75,29.34,3.65
Scarborough,15,GB,1562307519,87,54.28,-0.41,17.22,2.6
Mackenzie,90,CA,1562307520,51,55.34,-123.09,16,2.6
Saldanha,0,PT,1562307193,86,41.42,-6.55,16.44,0.17
Buala,89,SB,1562307523,76,-8.15,159.59,27.94,4.51
Varkaus,0,FI,1562307524,47,62.32,27.87,15,1.5
Bintulu,75,MY,1562307363,70,3.17,113.03,33,2.6
Dubbo,1,AU,1562307526,34,-32.25,148.6,20,8.7
Sampang,32,ID,1562307528,65,-7.54,109.46,28.74,5.32
Qasigiannguit,100,GL,1562307529,61,68.82,-51.19,8,2.1
Bambous Virieux,40,MU,1562307530,73,-20.34,57.76,24.44,3.6
Skjervoy,75,NO,1562307531,81,70.03,20.97,10,1.5
Ascope,90,PE,1562307308,93,-7.71,-79.11,17,3.1
Ucluelet,100,CA,1562307507,92,48.94,-125.55,15.56,6.38
Northam,75,AU,1562307535,71,-31.65,116.67,12,1.5
Igrim,84,RU,1562307018,39,63.19,64.42,24.64,3.17
Toropets,95,RU,1562307477,74,56.5,31.64,11.44,4.73
Kalabo,26,ZM,1562307539,56,-15,22.67,13.34,1.75
Pangnirtung,0,CA,1562307540,76,66.15,-65.72,4.24,0.61
Zabol,0,IR,1562307541,17,31.03,61.49,33,21.1
Yuanping,5,CN,1562307543,30,38.72,112.71,26.84,8.11
Codrington,90,AU,1562307544,68,-28.95,153.24,19,4.1
Simpang,54,ID,1562307545,40,4.36,96.17,34.44,1.83
Nha Trang,20,VN,1562307546,44,12.24,109.19,37,4.1
Port Hedland,0,AU,1562307325,61,-20.31,118.58,27,5.1
Medea,65,DZ,1562307549,60,36.27,2.77,25.24,1.74
Henties Bay,0,,1562307551,96,-22.12,14.28,9.44,1.34
Vyazemskiy,63,RU,1562307552,64,47.53,134.76,25.54,3.53
Tongzi,98,CN,1562307553,67,28.78,105.09,28.04,2.27
Itarema,6,BR,1562307554,97,-2.92,-39.92,22.34,2.2
Nouadhibou,0,MR,1562307556,82,20.93,-17.03,19,8.2
Lagoa,0,PT,1562307557,82,37.14,-8.45,17.22,1.5
Arcata,90,US,1562307558,93,40.87,-124.08,14.44,3.6
Aswan,0,EG,1562307559,21,24.09,32.9,29,3.1
Pisco,90,PE,1562307561,82,-13.71,-76.2,17.22,4.6
Barcelos,17,BR,1562307562,97,-0.97,-62.93,22.24,0.97
Karaton,20,ID,1562307563,55,-6.34,106.1,32.22,5.1
Vikulovo,59,RU,1562307565,57,55.07,40.96,15.74,4
Pabrade,90,LT,1562307566,93,55,25.78,11.11,7.7
Moussoro,24,TD,1562307567,60,13.64,16.49,29.44,4.44
Chumikan,100,RU,1562307568,98,54.72,135.31,8.94,1.98
Sisimiut,97,GL,1562307570,89,66.94,-53.67,4.54,0.66
Sheridan,20,US,1562307328,100,39.65,-105.03,18.33,2.6
Los Llanos De Aridane,20,ES,1562307572,72,28.66,-17.92,20,2.6
Parkes,0,AU,1562307574,44,-33.14,148.18,18.89,1.34
Anadyr,0,RU,1562307575,59,64.73,177.51,16,9
Muros,75,ES,1562307576,93,42.77,-9.06,19.44,1.07
Rawson,46,AR,1562307577,67,-43.3,-65.11,-0.26,3.42
Kukushtan,75,RU,1562307579,76,57.65,56.5,14,6
Calvinia,47,ZA,1562307580,91,-31.47,19.78,6.54,2.1
Portland,1,US,1562307581,93,43.66,-70.25,21.11,1.11
Luangwa,0,ZM,1562307582,72,-15.62,30.4,16.44,0.19
Torbay,90,CA,1562307584,100,47.66,-52.73,10.56,2.6
Zatoka,0,PL,1562307585,71,50.04,20.52,20,1
Zhangye,0,CN,1562307586,16,38.94,100.46,26.04,5.42
Vardo,1,US,1562307171,94,39.62,-77.74,23.33,0.98
Qiqihar,100,CN,1562307589,86,47.35,123.91,20.74,6.63
San Cristobal,38,HN,1562307590,81,14.68,-86.92,18.14,1.89
Vila Velha,40,BR,1562307591,78,-3.71,-38.6,30,4.6
Erzin,40,TR,1562307593,74,36.95,36.2,28.89,1.5
Billings,90,US,1562307594,72,45.79,-108.5,17.78,4.1
Nanakuli,75,US,1562307595,94,21.39,-158.15,27,4.1
Sibu,75,MY,1562307597,59,2.29,111.83,33,1.5
Lompoc,90,US,1562307598,87,34.64,-120.46,15.56,3.6
Tiznit,0,MA,1562307599,90,29.7,-9.73,18.64,2.89
Hami,64,CN,1562307601,13,42.84,93.51,34.34,3.86
Termoli,2,IT,1562307602,10,42,14.99,27.22,1.34
Show Low,1,US,1562307531,27,34.25,-110.03,19.44,4.45
Hasaki,75,JP,1562307149,78,35.73,140.83,22.78,4.1
Saint-Joseph,0,FR,1562307606,73,43.56,6.97,27.22,1.5
Alyangula,3,AU,1562307029,45,-13.85,136.42,28,3.6
La Ronge,5,CA,1562307608,93,55.1,-105.3,8,1.86
Fort Nelson,40,CA,1562307610,87,58.81,-122.69,12,1.5
Pucara,100,BO,1562307611,88,-21.7,-64.2,5.54,1.54
Bilibino,92,RU,1562307612,41,68.06,166.44,20.84,4.5
Baruun-Urt,33,MN,1562307613,35,46.68,113.28,18.24,9.87
Kharitonovo,97,RU,1562307615,93,61.4,47.5,12.64,1.85
Anloga,40,GH,1562307616,88,5.79,0.9,26,3.1
Aripuana,0,BR,1562307618,93,-9.17,-60.63,21.64,0.61
Toledo,0,ES,1562307619,43,39.86,-4.02,25.56,1.5
Pahrump,1,US,1562307398,13,36.21,-115.98,28.89,2.65
Dubreka,90,GN,1562307369,100,9.79,-13.52,25,3.1
Naze,100,NG,1562307623,98,5.43,7.07,22.64,0.97
Shetpe,0,KZ,1562307624,27,44.14,52.16,31.44,2.2
Sambava,30,MG,1562307625,59,-14.27,50.17,23.64,1.8
Alofi,12,NU,1562307626,69,-19.06,-169.92,24,7.2
Presidencia Roque Saenz Pena,0,AR,1562307628,78,-26.79,-60.44,6.14,1.5
El Limon,85,VE,1562307629,91,10.3,-67.63,25.44,2.41
Agadez,98,NE,1562307630,58,16.97,7.99,30,8.2
Pevek,92,RU,1562307632,83,69.7,170.27,3.54,5.88
Bathsheba,75,BB,1562307633,78,13.22,-59.52,27,9.3
Zhigansk,99,RU,1562307634,53,66.77,123.37,14.54,3.53
Togur,1,RU,1562307635,65,58.36,82.83,23.94,5.42
Itoman,75,JP,1562307637,88,26.12,127.67,29,7.2
Broken Hill,0,AU,1562307638,40,-31.97,141.45,20,7.2
Bima,3,ID,1562307639,45,-8.45,118.73,31.14,0.88
Khasan,100,RU,1562307641,84,42.43,130.64,17.74,3.43
Springfield,1,US,1562307464,88,42.1,-72.59,22.22,0.81
Alindao,100,CF,1562307643,95,5.04,21.21,22.04,1.6
Chiman,40,PK,1562307644,66,32.55,73.81,29,4.1
Vieux Fort,40,LC,1562307646,88,13.72,-60.95,27,7.2
Ankang,2,CN,1562307647,42,32.73,108.99,30.34,3.93
Lloydminster,40,CA,1562307648,81,53.28,-110.01,11,1.5
Berdigestyakh,100,RU,1562307649,88,62.1,126.7,12.24,2.16
Mushie,21,CD,1562307651,58,-3.02,16.92,24.44,1.97
Nikolskoye,0,RU,1562307652,58,59.7,30.79,17.78,4
Kholm,0,AF,1562307653,11,36.69,67.7,36.74,7.14
Logan,1,US,1562307654,81,41.73,-111.83,16.67,3.1
Vrangel,79,RU,1562307656,61,42.73,133.08,21.94,3.18
Half Moon Bay,90,US,1562307598,100,37.46,-122.43,15.56,2.44
Berlevag,20,NO,1562307658,76,70.86,29.09,10,2.1
Anapskaya,0,RU,1562307659,61,44.9,37.38,25,5
Bafq,0,IR,1562307661,9,31.6,55.4,34.74,2.08
Altay,24,CN,1562307662,66,47.83,88.13,16.34,1.94
San Quintin,100,PH,1562307663,70,17.54,120.52,29.64,3.67
Puerto Escondido,93,MX,1562307665,89,15.86,-97.07,24.54,2.24
Saint Anthony,75,US,1562307666,48,43.97,-111.68,17,4.6
Sawang Daen Din,93,TH,1562307667,68,17.48,103.46,30.54,3.82
Diu,95,IN,1562307668,70,20.71,70.98,29.44,7.31
Manamadurai,40,IN,1562307670,41,9.68,78.45,36,5.7
Lyuban,98,BY,1562307671,79,52.8,28,12.54,5.4
Eirunepe,5,BR,1562307672,90,-6.66,-69.87,22.34,0.6
Mahon,40,IE,1562307674,93,51.89,-8.4,12.22,4.6
Marsa Matruh,0,EG,1562307675,88,31.35,27.25,23,3.1
Ust-Nera,69,RU,1562307676,47,64.57,143.24,13.64,2.91
Healdsburg,1,US,1562307677,93,38.61,-122.87,18.33,2.1
Soyaux,0,FR,1562307679,64,45.64,0.19,23.89,2.1
Maua,44,KE,1562307680,57,0.23,37.94,14.84,1
Divicani,0,BA,1562307681,82,44.37,17.33,19,1.5
Chalon-Sur-Saone,0,FR,1562307396,63,46.78,4.85,20,1.5
Champerico,5,MX,1562307684,73,16.38,-93.6,25,1.5
Haines Junction,83,CA,1562307685,74,60.75,-137.51,16.34,0.8
Eyl,49,SO,1562307686,42,7.98,49.82,30.24,14.64
Calama,0,CL,1562307688,27,-22.46,-68.93,3,9.3
Xam Nua,100,LA,1562307689,64,20.42,104.04,27.74,2.26
Makokou,99,GA,1562307690,96,0.56,12.85,20.94,1.81
Aklavik,20,CA,1562307692,76,68.22,-135.01,13,2.6
Castelo Branco,0,PT,1562307693,83,39.82,-7.5,16.11,1.34
Grenfell,9,AU,1562307694,63,-33.9,148.16,16.54,2.35
Cairns,90,AU,1562307463,65,-16.92,145.77,25,4.6
Saint-Pierre,0,FR,1562307697,72,48.95,4.24,17,1.5
Eunice,1,US,1562307620,88,30.49,-92.42,26.11,2.11
Asosa,74,ET,1562307699,86,10.07,34.53,22.64,0.85
Oriximina,21,BR,1562307701,84,-1.77,-55.87,25.54,2.87
Haysville,1,US,1562307702,88,37.56,-97.35,26.11,3.1
Fortuna,90,US,1562307703,93,40.6,-124.16,14.44,3.6
Arlit,1,NE,1562307704,32,18.74,7.39,32.84,2.99
Ancud,0,CL,1562307706,81,-41.87,-73.83,0,0.5
Shache,0,CN,1562307707,11,38.42,77.24,32.44,1.63
Bontang,78,ID,1562307709,65,0.12,117.47,29.74,2.03
Tura,14,RU,1562307710,43,64.27,100.22,24.94,7.17
Morlaix,0,FR,1562307711,87,48.58,-3.83,17.22,2.1
Suntar,100,RU,1562307713,93,62.16,117.65,15.64,1.9
Xinqing,63,CN,1562307714,60,48.28,129.53,24.74,4.22
Popondetta,96,PG,1562307715,91,-8.77,148.24,20.94,1.61
Outjo,0,,1562307717,30,-20.11,16.16,7,1
Rocha,15,UY,1562307718,75,-34.48,-54.34,4.54,7.04
